,Content Relevance,Semantic_Similarity,Lexical_Diversity,Compression_Ratio,Article_Sentiment,Summary_Sentiment,Repetition_Score,Readability_Score,ROUGE_1,ROUGE_2,ROUGE_L,Model
0,0.903,0.859,0.759,0.659,0.049,0.009,0.386,33.288,0.797872340425532,0.7967914438502675,0.797872340425532,Traditional
1,0.601,0.534,0.868,0.309,0.049,0.053,0.265,35.028,0.43537414965986393,0.410958904109589,0.4285714285714285,Transformer
2,0.559,0.857,0.851,0.55,0.049,0.143,0.24,-7.498,0.5428571428571428,0.22988505747126434,0.36,Gemini
